change_type,covered_recipient_type,teaching_hospital_ccn,teaching_hospital_id,teaching_hospital_name,covered_recipient_profile_id,covered_recipient_npi,covered_recipient_first_name,covered_recipient_middle_name,covered_recipient_last_name,covered_recipient_name_suffix,recipient_primary_business_street_address_line1,recipient_primary_business_street_address_line2,recipient_city,recipient_state,recipient_zip_code,recipient_country,recipient_province,recipient_postal_code,covered_recipient_primary_type_1,covered_recipient_primary_type_2,covered_recipient_primary_type_3,covered_recipient_primary_type_4,covered_recipient_primary_type_5,covered_recipient_primary_type_6,covered_recipient_specialty_1,covered_recipient_specialty_2,covered_recipient_specialty_3,covered_recipient_specialty_4,covered_recipient_specialty_5,covered_recipient_specialty_6,covered_recipient_license_state_code1,covered_recipient_license_state_code2,covered_recipient_license_state_code3,covered_recipient_license_state_code4,covered_recipient_license_state_code5,submitting_applicable_manufacturer_or_applicable_gpo_name,applicable_manufacturer_or_applicable_gpo_making_payment_id,applicable_manufacturer_or_applicable_gpo_making_payment_name,applicable_manufacturer_or_applicable_gpo_making_payment_state,applicable_manufacturer_or_applicable_gpo_making_payment_country,total_amount_of_payment_usdollars,date_of_payment,number_of_payments_included_in_total_amount,form_of_payment_or_transfer_of_value,nature_of_payment_or_transfer_of_value,city_of_travel,state_of_travel,country_of_travel,physician_ownership_indicator,third_party_payment_recipient_indicator,name_of_third_party_entity_receiving_payment_or_transfer_of_ccfc,charity_indicator,third_party_equals_covered_recipient_indicator,contextual_information,delay_in_publication_indicator,record_id,dispute_status_for_publication,related_product_indicator,covered_or_noncovered_indicator_1,indicate_drug_or_biological_or_device_or_medical_supply_1,product_category_or_therapeutic_area_1,name_of_drug_or_biological_or_device_or_medical_supply_1,associated_drug_or_biological_ndc_1,associated_device_or_medical_supply_pdi_1,covered_or_noncovered_indicator_2,indicate_drug_or_biological_or_device_or_medical_supply_2,product_category_or_therapeutic_area_2,name_of_drug_or_biological_or_device_or_medical_supply_2,associated_drug_or_biological_ndc_2,associated_device_or_medical_supply_pdi_2,covered_or_noncovered_indicator_3,indicate_drug_or_biological_or_device_or_medical_supply_3,product_category_or_therapeutic_area_3,name_of_drug_or_biological_or_device_or_medical_supply_3,associated_drug_or_biological_ndc_3,associated_device_or_medical_supply_pdi_3,covered_or_noncovered_indicator_4,indicate_drug_or_biological_or_device_or_medical_supply_4,product_category_or_therapeutic_area_4,name_of_drug_or_biological_or_device_or_medical_supply_4,associated_drug_or_biological_ndc_4,associated_device_or_medical_supply_pdi_4,covered_or_noncovered_indicator_5,indicate_drug_or_biological_or_device_or_medical_supply_5,product_category_or_therapeutic_area_5,name_of_drug_or_biological_or_device_or_medical_supply_5,associated_drug_or_biological_ndc_5,associated_device_or_medical_supply_pdi_5,program_year,payment_publication_date
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"AstraZeneca Pharmaceuticals LP",100000000146,"AstraZeneca Pharmaceuticals LP",DE,"United States",100.00,02/04/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,Yes,,,No,914798593,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"AstraZeneca Pharmaceuticals LP",100000000146,"AstraZeneca Pharmaceuticals LP",DE,"United States",100.00,02/10/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,Yes,,,No,915108599,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"AstraZeneca Pharmaceuticals LP",100000000146,"AstraZeneca Pharmaceuticals LP",DE,"United States",100.00,01/26/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,Yes,,,No,915614971,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",1000.00,06/21/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946085837,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",50.00,01/28/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946085873,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",1300.00,02/25/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946085911,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",40.00,01/28/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946086061,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",80.00,06/21/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946086067,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",80.00,06/21/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946086073,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",20.00,08/26/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946089641,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",20.00,07/26/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946089675,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",20.00,12/08/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946089685,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",30.00,11/01/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946089925,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",30.00,07/07/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946092675,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",20.00,09/19/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946092917,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 BROOKLINE AVE",,BOSTON,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Bristol Myers Squibb Company",100000005499,"E.R. Squibb & Sons, L.L.C.",NJ,"United States",3139.88,11/29/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,932742981,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"DANA-FARBER CANCER INSTITUTE",,,,,,,"450 BROOKLINE AVE",,Boston,MA,02215-5418,"United States",,,,,,,,,,,,,,,,,,,,"Catalent Pharma Solutions, LLC",100000506824,"Catalent Pharma Solutions, LLC",NJ,"United States",50.00,11/21/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,924323151,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"DANA-FARBER CANCER INSTITUTE",,,,,,,"450 BROOKLINE AVE",,BOSTON,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Genentech, Inc.",100000000089,"Genentech, Inc.",CA,"United States",25000.00,09/14/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,No,,,No,950809981,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Instrumentation Laboratory Company",100000000239,"Instrumentation Laboratory Company",MA,"United States",2328.64,10/20/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,882601079,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Olympus Corporation of the Americas",100000000173,"Olympus Corporation of the Americas",PA,"United States",200.00,01/19/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,892511513,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Olympus Corporation of the Americas",100000000173,"Olympus Corporation of the Americas",PA,"United States",100.00,01/19/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,892511517,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Olympus Corporation of the Americas",100000000173,"Olympus Corporation of the Americas",PA,"United States",50.00,03/02/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,892511519,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Olympus Corporation of the Americas",100000000173,"Olympus Corporation of the Americas",PA,"United States",100.00,03/02/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,892511523,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Olympus Corporation of the Americas",100000000173,"Olympus Corporation of the Americas",PA,"United States",100.00,03/02/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,892511527,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Olympus Corporation of the Americas",100000000173,"Olympus Corporation of the Americas",PA,"United States",150.00,03/17/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,892511529,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"Dana-Farber Cancer Institute",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Olympus Corporation of the Americas",100000000173,"Olympus Corporation of the Americas",PA,"United States",100.00,11/09/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,892511533,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220162,11353,"DANA-FARBER CANCER INSTITUTE",,,,,,,"450 Brookline Ave",,Boston,MA,02215,"United States",,,,,,,,,,,,,,,,,,,,"Otsuka America Pharmaceutical, Inc.",100000010723,"Otsuka America Pharmaceutical, Inc.",MD,"United States",2523.36,04/19/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,929510369,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
