change_type,covered_recipient_type,teaching_hospital_ccn,teaching_hospital_id,teaching_hospital_name,covered_recipient_profile_id,covered_recipient_npi,covered_recipient_first_name,covered_recipient_middle_name,covered_recipient_last_name,covered_recipient_name_suffix,recipient_primary_business_street_address_line1,recipient_primary_business_street_address_line2,recipient_city,recipient_state,recipient_zip_code,recipient_country,recipient_province,recipient_postal_code,covered_recipient_primary_type_1,covered_recipient_primary_type_2,covered_recipient_primary_type_3,covered_recipient_primary_type_4,covered_recipient_primary_type_5,covered_recipient_primary_type_6,covered_recipient_specialty_1,covered_recipient_specialty_2,covered_recipient_specialty_3,covered_recipient_specialty_4,covered_recipient_specialty_5,covered_recipient_specialty_6,covered_recipient_license_state_code1,covered_recipient_license_state_code2,covered_recipient_license_state_code3,covered_recipient_license_state_code4,covered_recipient_license_state_code5,submitting_applicable_manufacturer_or_applicable_gpo_name,applicable_manufacturer_or_applicable_gpo_making_payment_id,applicable_manufacturer_or_applicable_gpo_making_payment_name,applicable_manufacturer_or_applicable_gpo_making_payment_state,applicable_manufacturer_or_applicable_gpo_making_payment_country,total_amount_of_payment_usdollars,date_of_payment,number_of_payments_included_in_total_amount,form_of_payment_or_transfer_of_value,nature_of_payment_or_transfer_of_value,city_of_travel,state_of_travel,country_of_travel,physician_ownership_indicator,third_party_payment_recipient_indicator,name_of_third_party_entity_receiving_payment_or_transfer_of_ccfc,charity_indicator,third_party_equals_covered_recipient_indicator,contextual_information,delay_in_publication_indicator,record_id,dispute_status_for_publication,related_product_indicator,covered_or_noncovered_indicator_1,indicate_drug_or_biological_or_device_or_medical_supply_1,product_category_or_therapeutic_area_1,name_of_drug_or_biological_or_device_or_medical_supply_1,associated_drug_or_biological_ndc_1,associated_device_or_medical_supply_pdi_1,covered_or_noncovered_indicator_2,indicate_drug_or_biological_or_device_or_medical_supply_2,product_category_or_therapeutic_area_2,name_of_drug_or_biological_or_device_or_medical_supply_2,associated_drug_or_biological_ndc_2,associated_device_or_medical_supply_pdi_2,covered_or_noncovered_indicator_3,indicate_drug_or_biological_or_device_or_medical_supply_3,product_category_or_therapeutic_area_3,name_of_drug_or_biological_or_device_or_medical_supply_3,associated_drug_or_biological_ndc_3,associated_device_or_medical_supply_pdi_3,covered_or_noncovered_indicator_4,indicate_drug_or_biological_or_device_or_medical_supply_4,product_category_or_therapeutic_area_4,name_of_drug_or_biological_or_device_or_medical_supply_4,associated_drug_or_biological_ndc_4,associated_device_or_medical_supply_pdi_4,covered_or_noncovered_indicator_5,indicate_drug_or_biological_or_device_or_medical_supply_5,product_category_or_therapeutic_area_5,name_of_drug_or_biological_or_device_or_medical_supply_5,associated_drug_or_biological_ndc_5,associated_device_or_medical_supply_pdi_5,program_year,payment_publication_date
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",307.63,01/25/2022,1,"In-kind items and services","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946086119,No,Yes,Covered,Device,"Diabetes Care","BD Ultra-Fine",,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",596.56,01/25/2022,1,"In-kind items and services","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946086545,No,Yes,Covered,Device,"Diabetes Care","BD Nano 2nd Gen Pen Needle",,00382903205509,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",73.33,01/25/2022,1,"In-kind items and services","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946086551,No,Yes,Non-Covered,,"Diabetes Care",,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",46.67,01/25/2022,1,"In-kind items and services","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946086567,No,Yes,Covered,Device,"Diabetes Care","BD Ultra-Fine",,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",870.50,01/25/2022,1,"In-kind items and services","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946086571,No,Yes,Non-Covered,,"Diabetes Care",,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Becton, Dickinson and Company",100000005485,"Becton, Dickinson and Company",NJ,"United States",92.12,01/25/2022,1,"In-kind items and services","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,946086719,No,Yes,Non-Covered,,"Diabetes Care",,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit St",,Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Instrumentation Laboratory Company",100000000239,"Instrumentation Laboratory Company",MA,"United States",200.00,01/10/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,882601077,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit Street",,Boston,MA,02445,"United States",,,,,,,,,,,,,,,,,,,,"Nihon Kohden America, Inc.",100000010977,"Nihon Kohden America, Inc.",CA,"United States",4179.50,11/10/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,957938799,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"Massachusetts General Hospital",,,,,,,"55 Fruit Street","Bulfinch 360",Boston,MA,02445,"United States",,,,,,,,,,,,,,,,,,,,"Nihon Kohden America, Inc.",100000010977,"Nihon Kohden America, Inc.",CA,"United States",5270.50,02/10/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,957938613,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220071,11357,"MASSACHUSETTS GENERAL HOSPITAL",,,,,,,"55 Fruit St","Bulfinch 360",Boston,MA,02114,"United States",,,,,,,,,,,,,,,,,,,,"Pfizer Inc.",100000000286,"PFIZER INC.",NY,"United States",100.00,12/23/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,949503959,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
