change_type,covered_recipient_type,teaching_hospital_ccn,teaching_hospital_id,teaching_hospital_name,covered_recipient_profile_id,covered_recipient_npi,covered_recipient_first_name,covered_recipient_middle_name,covered_recipient_last_name,covered_recipient_name_suffix,recipient_primary_business_street_address_line1,recipient_primary_business_street_address_line2,recipient_city,recipient_state,recipient_zip_code,recipient_country,recipient_province,recipient_postal_code,covered_recipient_primary_type_1,covered_recipient_primary_type_2,covered_recipient_primary_type_3,covered_recipient_primary_type_4,covered_recipient_primary_type_5,covered_recipient_primary_type_6,covered_recipient_specialty_1,covered_recipient_specialty_2,covered_recipient_specialty_3,covered_recipient_specialty_4,covered_recipient_specialty_5,covered_recipient_specialty_6,covered_recipient_license_state_code1,covered_recipient_license_state_code2,covered_recipient_license_state_code3,covered_recipient_license_state_code4,covered_recipient_license_state_code5,submitting_applicable_manufacturer_or_applicable_gpo_name,applicable_manufacturer_or_applicable_gpo_making_payment_id,applicable_manufacturer_or_applicable_gpo_making_payment_name,applicable_manufacturer_or_applicable_gpo_making_payment_state,applicable_manufacturer_or_applicable_gpo_making_payment_country,total_amount_of_payment_usdollars,date_of_payment,number_of_payments_included_in_total_amount,form_of_payment_or_transfer_of_value,nature_of_payment_or_transfer_of_value,city_of_travel,state_of_travel,country_of_travel,physician_ownership_indicator,third_party_payment_recipient_indicator,name_of_third_party_entity_receiving_payment_or_transfer_of_ccfc,charity_indicator,third_party_equals_covered_recipient_indicator,contextual_information,delay_in_publication_indicator,record_id,dispute_status_for_publication,related_product_indicator,covered_or_noncovered_indicator_1,indicate_drug_or_biological_or_device_or_medical_supply_1,product_category_or_therapeutic_area_1,name_of_drug_or_biological_or_device_or_medical_supply_1,associated_drug_or_biological_ndc_1,associated_device_or_medical_supply_pdi_1,covered_or_noncovered_indicator_2,indicate_drug_or_biological_or_device_or_medical_supply_2,product_category_or_therapeutic_area_2,name_of_drug_or_biological_or_device_or_medical_supply_2,associated_drug_or_biological_ndc_2,associated_device_or_medical_supply_pdi_2,covered_or_noncovered_indicator_3,indicate_drug_or_biological_or_device_or_medical_supply_3,product_category_or_therapeutic_area_3,name_of_drug_or_biological_or_device_or_medical_supply_3,associated_drug_or_biological_ndc_3,associated_device_or_medical_supply_pdi_3,covered_or_noncovered_indicator_4,indicate_drug_or_biological_or_device_or_medical_supply_4,product_category_or_therapeutic_area_4,name_of_drug_or_biological_or_device_or_medical_supply_4,associated_drug_or_biological_ndc_4,associated_device_or_medical_supply_pdi_4,covered_or_noncovered_indicator_5,indicate_drug_or_biological_or_device_or_medical_supply_5,product_category_or_therapeutic_area_5,name_of_drug_or_biological_or_device_or_medical_supply_5,associated_drug_or_biological_ndc_5,associated_device_or_medical_supply_pdi_5,program_year,payment_publication_date
NEW,"Covered Recipient Teaching Hospital",220116,11369,"Tufts Medical Center",,,,,,,"750 Washington St","Box 018",Boston,MA,02111,"United States",,,,,,,,,,,,,,,,,,,,"Olympus Corporation of the Americas",100000000173,"Olympus Corporation of the Americas",PA,"United States",75.00,03/17/2022,1,"Cash or cash equivalent","Charitable Contribution",,,,,"No Third Party Payment",,,,,No,892511555,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220116,11369,"TUFTS MEDICAL CENTER",,,,,,,"750 WASHINGTON ST","BOX 018",BOSTON,MA,02111,"United States",,,,,,,,,,,,,,,,,,,,"Amgen Inc.",100000000203,"Amgen Inc.",CA,"United States",50000.00,08/26/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,946543007,No,Yes,Covered,Drug,Cardiology,Corlanor,55513-800-60,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220116,11369,"Tufts Medical Center",,,,,,,"750 Washington St","Box 018",Boston,MA,02111,"United States",,,,,,,,,,,,,,,,,,,,"AstraZeneca Pharmaceuticals LP",100000005462,"Alexion Pharmaceuticals, Inc.",MA,"United States",175000.00,12/15/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,914918725,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220116,11369,"Tufts Medical Center",,,,,,,"750 Washington St","Box 018",Boston,MA,02111,"United States",,,,,,,,,,,,,,,,,,,,"BioMarin Pharmaceutical Inc.",100000010405,"BioMarin Pharmaceutical Inc.",CA,"United States",50000.00,04/15/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,"Oracle Oracle-426-NEU40025002016-Tufts 12mo CEVR pharma sponsorship-TUFTS MEDICAL CENTER INC-Project Advisory and Other Consulting-04152022-50000-1",No,929753361,No,Yes,Non-Covered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220116,11369,"Tufts Medical Center",,,,,,,"800 WASHINGTON ST",,BOSTON,MA,02111,"United States",,,,,,,,,,,,,,,,,,,,"Boehringer Ingelheim Pharmaceuticals, Inc.",100000000234,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,"United States",110000.00,12/28/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887661325,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220116,11369,"Tufts Medical Center",,,,,,,"800 WASHINGTON ST",,BOSTON,MA,02111,"United States",,,,,,,,,,,,,,,,,,,,"Boehringer Ingelheim Pharmaceuticals, Inc.",100000000234,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,"United States",50000.00,05/06/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,No,,,No,887661327,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220116,11369,"Tufts Medical Center",,,,,,,"750 WASHINGTON ST","BOX 018",BOSTON,MA,02111,"United States",,,,,,,,,,,,,,,,,,,,"Edwards Lifesciences Corporation",100000010633,"Edwards Lifesciences Corporation",CA,"United States",15000.00,06/03/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,943882755,No,Yes,Non-Covered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220116,11369,"Tufts Medical Center",,,,,,,"800 Washington St",,Boston,MA,02111,"United States",,,,,,,,,,,,,,,,,,,,"Heidelberg Engineering, Inc.",100000010620,"Heidelberg Engineering, Inc.",MA,"United States",2400.00,01/18/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,912754227,No,Yes,Covered,Device,"Ophthalmology Imaging Equipment",Spectralis,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220116,11369,"Tufts Medical Center",,,,,,,"750 WASHINGTON ST","BOX 018",BOSTON,MA,02111,"United States",,,,,,,,,,,,,,,,,,,,"Incyte Corporation",100000000263,"Incyte Corporation",DE,"United States",60000.00,12/19/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,943043737,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
NEW,"Covered Recipient Teaching Hospital",220116,11369,"TUFTS MEDICAL CENTER",,,,,,,"800 WASHINGTON ST",,BOSTON,MA,02111,"United States",,,,,,,,,,,,,,,,,,,,"Meridian Bioscience Inc.",100000010483,"Meridian Bioscience Inc.",OH,"United States",1890.00,07/08/2022,1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program",,,,,"No Third Party Payment",,,,,No,940387239,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,06/30/2023
